"FAZENDA";"PROJETO";"ESPACAMENTO";"TALHAO";"MATGEN";"ARVORE";"DAP";"HT";"hi";"di_cc";"e_casca"
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";8;14,32394488;25,45;0,1;15,59718442;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";8;14,32394488;25,45;0,5;14,96056465;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";8;14,32394488;25,45;1;14,32394488;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";8;14,32394488;25,45;1,5;14,00563499;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";8;14,32394488;25,45;2;13,84648005;4
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";8;14,32394488;25,45;4;13,36901522;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";8;14,32394488;25,45;6;12,73239545;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";8;14,32394488;25,45;8;11,93662073;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";8;14,32394488;25,45;10;10,98169107;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";8;14,32394488;25,45;12;10,02676141;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";8;14,32394488;25,45;14;9,230986699;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";8;14,32394488;25,45;16;7,957747155;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";8;14,32394488;25,45;18;7,321127382;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";8;14,32394488;25,45;20;5,888732894;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";8;14,32394488;25,45;22;4,456338407;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";8;14,32394488;25,45;24;2,387324146;1
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";9;14,32394488;25,52;0,1;15,75633937;6
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";9;14,32394488;25,52;0,5;15,11971959;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";9;14,32394488;25,52;1;14,00563499;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";9;14,32394488;25,52;1,5;13,84648005;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";9;14,32394488;25,52;2;13,52817016;4
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";9;14,32394488;25,52;4;13,36901522;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";9;14,32394488;25,52;6;12,73239545;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";9;14,32394488;25,52;8;11,93662073;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";9;14,32394488;25,52;10;10,98169107;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";9;14,32394488;25,52;12;10,02676141;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";9;14,32394488;25,52;14;9,230986699;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";9;14,32394488;25,52;16;7,957747155;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";9;14,32394488;25,52;18;7,321127382;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";9;14,32394488;25,52;20;5,888732894;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";9;14,32394488;25,52;22;4,456338407;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";9;14,32394488;25,52;24;2,387324146;1
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";10;14,96056465;22,25;0,1;17,3478888;6
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";10;14,96056465;22,25;0,5;15,91549431;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";10;14,96056465;22,25;1;15,11971959;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";10;14,96056465;22,25;1,5;14,64225476;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";10;14,96056465;22,25;2;14,32394488;4
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";10;14,96056465;22,25;4;13,68732511;4
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";10;14,96056465;22,25;6;12,73239545;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";10;14,96056465;22,25;8;12,09577567;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";10;14,96056465;22,25;10;10,82253613;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";10;14,96056465;22,25;12;9,549296586;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";10;14,96056465;22,25;14;8,594366927;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";10;14,96056465;22,25;16;7,639437268;1
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";10;14,96056465;22,25;18;4,61549335;1
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";10;14,96056465;22,25;20;3,183098862;1
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";10;14,96056465;22,25;22;0,795774715;1
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";11;15,11971959;26,9;0,1;17,02957891;8
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";11;15,11971959;26,9;0,5;16,07464925;7
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";11;15,11971959;26,9;1;15,27887454;6
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";11;15,11971959;26,9;1,5;15,11971959;6
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";11;15,11971959;26,9;2;14,64225476;6
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";11;15,11971959;26,9;4;14,32394488;5
