"CLONE";"TALHAO";"ARVORE";"TORA";"DAP";"HT";"hi";"di_cc";"e_casca";"comp_secao"
9318;2;12;6;16,1;21;5,5;14;6;1
9318;2;12;7;16,1;21;6,5;13,5;5;1
9318;2;12;8;16,1;21;7,5;13;6;1
9318;2;12;9;16,1;21;8,5;12,5;5;1
9318;2;12;10;16,1;21;9,5;12,5;4;1
9318;2;12;11;16,1;21;10,5;12;4;1
9318;2;12;12;16,1;21;11,5;11,5;5;1
9318;2;12;13;16,1;21;12,5;11;4;1
9318;2;12;14;16,1;21;13,5;10,5;3;1
9318;2;12;15;16,1;21;14,5;10;3;1
9318;2;12;16;16,1;21;15,5;10;3;1
9318;2;12;17;16,1;21;16,5;9,5;3;1
9318;2;12;18;16,1;21;17,5;8,5;3;1
9318;2;12;19;16,1;21;18,5;8;2;1
9318;2;12;20;16,1;21;19,5;7,5;2;1
9318;2;12;21;16,1;21;20,5;6,5;2;1
9318;2;13;1;15,1;20;0,5;16;1;1
9318;2;13;2;15,1;20;1,5;15;10;1
9318;2;13;3;15,1;20;2,5;14;7;1
9318;2;13;4;15,1;20;3,5;14;7;1
9318;2;13;5;15,1;20;4,5;13,5;6;1
9318;2;13;6;15,1;20;5,5;13,5;5;1
9318;2;13;7;15,1;20;6,5;13;5;1
9318;2;13;8;15,1;20;7,5;13;4;1
9318;2;13;9;15,1;20;8,5;12,5;4;1
9318;2;13;10;15,1;20;9,5;12;4;1
9318;2;13;11;15,1;20;10,5;12;4;1
9318;2;13;12;15,1;20;11,5;11;4;1
9318;2;13;13;15,1;20;12,5;11;4;1
9318;2;13;14;15,1;20;13,5;10;3;1
9318;2;13;15;15,1;20;14,5;9,5;3;1
9318;2;13;16;15,1;20;15,5;9;3;1
9318;2;13;17;15,1;20;16,5;8;2;1
9318;2;13;18;15,1;20;17,5;8;2;1
9318;2;13;19;15,1;20;18,5;7,5;1;1
9318;2;13;20;15,1;20;19,5;6,5;10;1
9318;2;15;1;14,7;19;0,5;15;7;1
9318;2;15;2;14,7;19;1,5;14,5;6;1
9318;2;15;3;14,7;19;2,5;14;5;1
9318;2;15;4;14,7;19;3,5;14;5;1
9318;2;15;5;14,7;19;4,5;13,5;5;1
9318;2;15;6;14,7;19;5,5;12,5;5;1
9318;2;15;7;14,7;19;6,5;12,5;4;1
9318;2;15;8;14,7;19;7,5;12;4;1
9318;2;15;9;14,7;19;8,5;11,5;4;1
9318;2;15;10;14,7;19;9,5;11,5;4;1
9318;2;15;11;14,7;19;10,5;11;3;1
9318;2;15;12;14,7;19;11,5;10;3;1
9318;2;15;14;14,7;19;13,5;9;3;1
9318;2;15;15;14,7;19;14,5;8,5;3;1
9318;2;15;16;14,7;19;15,5;8;3;1
9318;2;15;17;14,7;19;16,5;7;2;1
9318;2;15;18;14,7;19;17,5;7;2;1
9318;2;15;19;14,7;19;18,5;6;9;1
9318;2;16;1;16,7;20;0,5;17;8;1
9318;2;16;2;16,7;20;1,5;16,5;6;1
9318;2;16;3;16,7;20;2,5;16;6;1
9318;2;16;4;16,7;20;3,5;15;6;1
9318;2;16;5;16,7;20;4,5;15;5;1
9318;2;16;6;16,7;20;5,5;14,5;5;1
9318;2;16;7;16,7;20;6,5;14;4;1
9318;2;16;8;16,7;20;7,5;13,5;3;1
9318;2;16;9;16,7;20;8,5;13;3;1
9318;2;16;10;16,7;20;9,5;12,5;3;1
9318;2;16;11;16,7;20;10,5;12;3;1
9318;2;16;12;16,7;20;11,5;11,5;3;1
9318;2;16;13;16,7;20;12,5;11;3;1
9318;2;16;14;16,7;20;13,5;10,5;3;1
9318;2;16;15;16,7;20;14,5;10;2;1
9318;2;16;16;16,7;20;15,5;9;2;1
9318;2;16;17;16,7;20;16,5;8,5;2;1
9318;2;16;18;16,7;20;17,5;8;1;1
9318;2;16;19;16,7;20;18,5;7,5;7;1
9318;2;16;20;16,7;20;19,5;7;7;1
9318;2;17;1;15,5;19;0,5;17;6;1
9318;2;17;2;15,5;19;1,5;15,5;6;1
9318;2;17;3;15,5;19;2,5;15;6;1
9318;2;17;4;15,5;19;3,5;14,5;5;1
9318;2;17;5;15,5;19;4,5;14,5;5;1
9318;2;17;6;15,5;19;5,5;14;4;1
9318;2;17;7;15,5;19;6,5;14;3;1
9318;2;17;8;15,5;19;7,5;13;3;1
9318;2;17;9;15,5;19;8,5;12,5;2;1
9318;2;17;10;15,5;19;9,5;12;2;1
9318;2;17;11;15,5;19;10,5;12;2;1
9318;2;17;12;15,5;19;11,5;11,5;2;1
9318;2;17;13;15,5;19;12,5;11;2;1
9318;2;17;14;15,5;19;13,5;10,5;2;1
9318;2;17;15;15,5;19;14,5;10;2;1
9318;2;17;16;15,5;19;15,5;9;2;1
9318;2;17;17;15,5;19;16,5;8;1;1
9318;2;17;18;15,5;19;17,5;7,5;6;1
9318;2;17;19;15,5;19;18,5;6,5;7;1
9318;2;18;1;16,7;20;0,5;17;6;1
9318;2;18;2;16,7;20;1,5;16,5;6;1
9318;2;18;3;16,7;20;2,5;16;5;1
9318;2;18;4;16,7;20;3,5;15;4;1
9318;2;18;5;16,7;20;4,5;15;4;1
9318;2;18;6;16,7;20;5,5;14,5;4;1
9318;2;18;7;16,7;20;6,5;14;4;1
9318;2;18;8;16,7;20;7,5;13,5;4;1
9318;2;18;9;16,7;20;8,5;13;3;1
9318;2;18;10;16,7;20;9,5;12,5;4;1
9318;2;18;11;16,7;20;10,5;12;3;1
9318;2;18;12;16,7;20;11,5;12;3;1
9318;2;18;13;16,7;20;12,5;11,5;3;1
9318;2;18;14;16,7;20;13,5;10,5;3;1
9318;2;18;15;16,7;20;14,5;10,5;3;1
9318;2;18;16;16,7;20;15,5;9,5;2;1
9318;2;18;17;16,7;20;16,5;9;1;1
9318;2;18;18;16,7;20;17,5;8;10;1
9318;2;18;19;16,7;20;18,5;7,5;7;1
9318;2;18;20;16,7;20;19,5;7;7;1
9318;2;19;1;16;20;0,5;17,5;6;1
9318;2;19;2;16;20;1,5;16;6;1
9318;2;19;3;16;20;2,5;15,5;5;1
9318;2;19;4;16;20;3,5;15;4;1
9318;2;19;5;16;20;4,5;14,5;4;1
9318;2;19;6;16;20;5,5;14;4;1
9318;2;19;7;16;20;6,5;13,5;3;1
9318;2;19;8;16;20;7,5;13;4;1
9318;2;19;9;16;20;8,5;13;3;1
9318;2;19;10;16;20;9,5;12,5;3;1
9318;2;19;11;16;20;10,5;12;3;1
9318;2;19;12;16;20;11,5;11,5;2;1
9318;2;19;13;16;20;12,5;11;2;1
9318;2;19;14;16;20;13,5;10,5;2;1
9318;2;19;15;16;20;14,5;10;3;1
9318;2;19;16;16;20;15,5;9;2;1
9318;2;19;17;16;20;16,5;8,5;7;1
9318;2;19;18;16;20;17,5;8;7;1
9318;2;19;19;16;20;18,5;7,5;6;1
9318;2;19;20;16;20;19,5;6,5;5;1
9318;2;20;1;15,1;19;0,5;16;5;1
9318;2;20;2;15,1;19;1,5;15;5;1
9318;2;20;3;15,1;19;2,5;14,5;5;1
9318;2;20;4;15,1;19;3,5;14;4;1
9318;2;20;5;15,1;19;4,5;13,5;3;1
9318;2;20;6;15,1;19;5,5;13;3;1
9318;2;20;7;15,1;19;6,5;12,5;3;1
9318;2;20;8;15,1;19;7,5;12,5;4;1
9318;2;20;9;15,1;19;8,5;12;4;1
9318;2;20;10;15,1;19;9,5;11,5;4;1
9318;2;20;11;15,1;19;10,5;11,5;3;1
9318;2;20;12;15,1;19;11,5;11;3;1
9318;2;20;13;15,1;19;12,5;10,5;2;1
9318;2;20;14;15,1;19;13,5;10;2;1
9318;2;20;15;15,1;19;14,5;9;1;1
9318;2;20;16;15,1;19;15,5;8,5;6;1
9318;2;20;17;15,1;19;16,5;8;7;1
9318;2;20;18;15,1;19;17,5;7,5;7;1
9318;2;20;19;15,1;19;18,5;7;6;1
9318;2;21;1;16,1;20;0,5;17;5;1
9318;2;21;2;16,1;20;1,5;16;5;1
9318;2;21;3;16,1;20;2,5;15,5;5;1
9318;2;21;4;16,1;20;3,5;15;4;1
9318;2;21;5;16,1;20;4,5;14,5;4;1
9318;2;21;6;16,1;20;5,5;14;3;1
9318;2;21;7;16,1;20;6,5;14;3;1
9318;2;21;8;16,1;20;7,5;13;3;1
9318;2;21;9;16,1;20;8,5;13;4;1
9318;2;21;10;16,1;20;9,5;12,5;4;1
9318;2;21;11;16,1;20;10,5;12;4;1
9318;2;21;12;16,1;20;11,5;12;3;1
9318;2;21;13;16,1;20;12,5;11;3;1
9318;2;21;14;16,1;20;13,5;10;2;1
9318;2;21;15;16,1;20;14,5;10;2;1
9318;2;21;16;16,1;20;15,5;9,5;1;1
9318;2;21;17;16,1;20;16,5;8;9;1
9318;2;21;18;16,1;20;17,5;8;8;1
9318;2;21;19;16,1;20;18,5;7;7;1
9318;2;21;20;16,1;20;19,5;6,5;7;1
9318;2;22;1;17,3;20;0,5;17;6;1
9318;2;22;2;17,3;20;1,5;17;6;1
9318;2;22;3;17,3;20;2,5;16;5;1
9318;2;22;4;17,3;20;3,5;16;4;1
9318;2;22;5;17,3;20;4,5;15;4;1
9318;2;22;6;17,3;20;5,5;14,5;3;1
